cod_prod,nom_prod,concent,nom_form_farm,presentac,fraccion,num_reg_san,nom_titular,nom_fabricante,nom_ifa,nom_rubro,situacion
61302.0,EVAKUA PERLAS,2.5 mg,Cápsula Blanda,Caja Envase Blíster Cápsula Blanda,30.0,EN01382,MEDIFARMA S.A.,MEDIFARMA S.A.,PICOSULFATO DE SODIO,ESPECIALIDAD FARMACEUTICA,ACT
57269.0,3A OFTENO,0.1 %,Solución Oftálmica,Caja Frasco Gotero x 5 mL,1.0,EE01394,LABOFTA S.A.C.,"LABORATORIOS SOPHIA,S.A. DE C.V.",DICLOFENACO SODICO,ESPECIALIDAD FARMACEUTICA,ACT
39838.0,3A OFTENO,0.1 %,Solución Oftálmica,Caja Frasco gotero x 5 mL,1.0,EE01394,FARMACEUTICA CONTINENTAL E.I.R.L.,"LABORATORIOS SOPHIA,S.A. DE C.V.",DICLOFENACO SODICO,ESPECIALIDAD FARMACEUTICA,ACT
46962.0,3A OFTENO,0.1 %,Solución Oftálmica,Caja Frasco gotero x 5 mL,1.0,EE01394,LABORATORIOS OFTALMICOS S.A.C.,"LABORATORIOS SOPHIA,S.A. DE C.V.",DICLOFENACO SODICO,ESPECIALIDAD FARMACEUTICA,ACT
47895.0,3DT BIOTIC,500 mg,Tableta Recubierta,Caja Envase Blister Tabletas Recubiertas,100.0,EN06975,BIOS PERU S.A.C.,LABORATORIOS GABBLAN S.A.C.,AZITROMICINA DIHIDRATO,ESPECIALIDAD FARMACEUTICA,ACT
42762.0,3-GEL,582 mg + 196 mg + 20 mg,Suspensión Oral,Caja Sobre x 10 mL,20.0,EE04012,DROGUERIA PERU S.A.C. - DROPESAC,DAEWON PHARM CO. LTD,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + OXETACAINA,ESPECIALIDAD FARMACEUTICA,ACT
44453.0,3-GEL,582 mg + 196 mg + 20 mg,Suspensión Oral,Caja Sobre x 10 mL,1.0,EE04012,DROGUERIA PERU S.A.C. - DROPESAC,DAEWON PHARM CO. LTD,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + OXETACAINA,ESPECIALIDAD FARMACEUTICA,ACT
56817.0,3-GEL,582 mg + 196 mg + 20 mg,Suspensión Oral,Caja Sobre x 10 mL,10.0,EE04012,DROGUERIA PERU S.A.C. - DROPESAC,DAEWON PHARM CO. LTD,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + OXETACAINA,ESPECIALIDAD FARMACEUTICA,ACT
60835.0,3-GEN,1 % + 0.05 % + 0.1 %,Crema,Caja Tubo x 20 g,1.0,EN09943,GEN PHARMAX S.A.C.S.,LABORATORIO FARMACEUTICO SAN JOAQUIN - ROXFARMA S.A.,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,ESPECIALIDAD FARMACEUTICA,ACT
45625.0,5 FLUCEL 250,250 mg/ 5 mL,Solución Inyectable,Caja Ampollas,5.0,EE04743,SEVEN PHARMA S.A.C.,CELON LABORATORIES PRIVATE LIMITED,FLUOROURACILO,ESPECIALIDAD FARMACEUTICA,ACT
